60	8.40E-13	7.61E-26
61	8.74E-13	8.52E-26
62	9.25E-13	9.87E-26
63	9.04E-13	9.73E-26
64	8.11E-13	8.07E-26
65	8.37E-13	8.88E-26
66	8.29E-13	8.98E-26
67	9.30E-13	1.16E-25
68	1.09E-12	1.65E-25
69	1.35E-12	2.62E-25
70	1.36E-12	2.73E-25
71	1.41E-12	3.00E-25
72	1.50E-12	3.51E-25
73	1.83E-12	5.34E-25
74	2.07E-12	7.06E-25
75	2.11E-12	7.48E-25
76	1.91E-12	6.35E-25
77	1.61E-12	4.58E-25
78	1.49E-12	4.04E-25
79	1.61E-12	4.84E-25
80	1.79E-12	6.18E-25
81	2.06E-12	8.31E-25
82	2.05E-12	8.44E-25
83	1.89E-12	7.40E-25
84	1.78E-12	6.74E-25
85	1.84E-12	7.32E-25
86	2.02E-12	9.02E-25
87	2.01E-12	9.14E-25
88	1.93E-12	8.69E-25
89	2.03E-12	9.44E-25
90	2.20E-12	1.17E-24
91	2.15E-12	1.15E-24
92	2.21E-12	1.24E-24
93	2.00E-12	1.04E-24
94	2.04E-12	1.11E-24
95	2.17E-12	1.28E-24
96	2.19E-12	1.32E-24
99	2.18E-12	1.40E-24
100	2.42E-12	1.76E-24
101	2.67E-12	2.19E-24
102	2.75E-12	2.36E-24
103	2.64E-12	2.21E-24
104	2.32E-12	1.75E-24
105	1.74E-12	1.00E-24
106	1.36E-12	6.26E-25
107	1.46E-12	7.27E-25
108	1.79E-12	1.12E-24
109	1.85E-12	1.22E-24
110	1.85E-12	1.24E-24
111	1.76E-12	1.15E-24
112	1.73E-12	1.13E-24
113	2.00E-12	1.53E-24
114	2.65E-12	2.74E-24
115	2.84E-12	3.19E-24
116	2.05E-12	1.69E-24
117	1.72E-12	1.22E-24
118	1.91E-12	1.52E-24
119	2.89E-12	3.54E-24
120	4.20E-12	7.62E-24
121	3.83E-12	6.45E-24
122	2.94E-12	3.87E-24
123	2.61E-12	3.09E-24
124	2.33E-12	2.51E-24
125	2.02E-12	1.91E-24
126	2.09E-12	2.09E-24
127	2.46E-12	2.93E-24
128	2.53E-12	3.14E-24
129	2.80E-12	3.91E-24
130	2.71E-12	3.71E-24
